City_ID,City,County,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hachinohe,JP,40.5,141.5,68.63,58,82,10.6,broken clouds
1,Bandarbeyla,SO,9.4942,50.8122,82.69,61,61,25.68,broken clouds
2,Longyearbyen,SJ,78.2186,15.6401,35.44,64,0,10.36,clear sky
3,Vardo,NO,70.3705,31.1107,35.8,66,55,9.98,broken clouds
4,Cape Town,ZA,-33.9258,18.4232,46.89,82,0,3.0,clear sky
5,Jamestown,US,42.097,-79.2353,60.39,88,40,5.75,scattered clouds
6,Barrow,US,71.2906,-156.7887,37.42,75,1,14.97,clear sky
7,Almaznyy,RU,48.0448,40.045,55.54,45,28,7.36,scattered clouds
8,Zima,RU,53.9202,102.0442,42.48,91,100,2.64,light rain
9,Chokurdakh,RU,70.6333,147.9167,35.67,68,100,20.69,overcast clouds
10,Opuwo,NA,-18.0607,13.84,61.59,27,0,1.97,clear sky
11,Kamarion,GR,36.8,25.8167,71.74,71,0,22.75,clear sky
12,Hilo,US,19.7297,-155.09,76.28,86,90,4.61,light rain
13,Bethel,US,41.3712,-73.414,67.05,88,1,3.44,clear sky
14,Albany,US,42.6001,-73.9662,59.52,89,0,5.19,clear sky
15,Rikitea,PF,-23.1203,-134.9692,73.81,71,83,3.65,broken clouds
16,Ballina,AU,-28.8667,153.5667,71.78,44,5,12.66,clear sky
17,Yar-Sale,RU,66.8333,70.8333,45.23,69,88,21.74,overcast clouds
18,Broken Hill,AU,-31.95,141.4333,64.11,39,4,8.05,clear sky
19,Punta Arenas,CL,-53.15,-70.9167,37.51,87,0,9.22,clear sky
20,Katoro,TZ,-3.0203,31.8958,68.14,68,26,3.42,light rain
21,Mataura,NZ,-46.1927,168.8643,48.47,96,100,6.55,overcast clouds
22,Butaritari,KI,3.0707,172.7902,82.44,75,47,15.43,moderate rain
23,Hobart,AU,-42.8794,147.3294,56.26,50,75,3.0,broken clouds
24,Dingle,PH,10.9995,122.6711,76.59,93,100,6.44,light rain
25,Lata,PT,40.1629,-8.3327,70.21,91,95,4.76,overcast clouds
26,Qaanaaq,GL,77.484,-69.3632,15.17,64,92,8.39,overcast clouds
27,Port Hardy,CA,50.6996,-127.4199,57.38,94,90,2.3,light intensity shower rain
28,Bundaberg,AU,-24.85,152.35,75.49,13,0,10.36,clear sky
29,Nanortalik,GL,60.1432,-45.2371,40.6,85,77,13.31,broken clouds
30,Upernavik,GL,72.7868,-56.1549,28.29,69,89,4.43,overcast clouds
31,Aboisso,CI,5.4678,-3.2071,72.14,98,88,3.04,overcast clouds
32,Tuktoyaktuk,CA,69.4541,-133.0374,41.0,87,90,20.71,overcast clouds
33,Thompson,CA,55.7435,-97.8558,53.76,94,75,3.44,broken clouds
34,Tiznit,MA,29.5833,-9.5,75.65,37,31,1.63,scattered clouds
35,Bredasdorp,ZA,-34.5322,20.0403,40.28,93,0,3.44,clear sky
36,Chuy,UY,-33.6971,-53.4616,55.72,87,100,13.4,overcast clouds
37,New Norfolk,AU,-42.7826,147.0587,55.92,54,84,5.01,broken clouds
38,Ushuaia,AR,-54.8,-68.3,38.86,87,0,6.91,clear sky
39,Lompoc,US,34.6391,-120.4579,70.21,94,75,0.0,mist
40,Namibe,AO,-15.1961,12.1522,64.31,89,84,3.06,broken clouds
41,Gunjur,GM,13.2019,-16.7339,80.67,94,40,0.0,scattered clouds
42,Avera,US,33.194,-82.5271,76.51,69,100,1.05,overcast clouds
43,Tocopilla,CL,-22.092,-70.1979,58.01,80,94,2.82,overcast clouds
44,Kodiak,US,57.79,-152.4072,52.57,89,39,7.85,scattered clouds
45,Hengshui,CN,37.7322,115.7011,77.86,57,0,9.64,clear sky
46,Saint-Pierre,RE,-21.3393,55.4781,72.28,67,0,18.41,clear sky
47,Bengkulu,ID,-3.8004,102.2655,82.0,73,45,9.62,scattered clouds
48,Port Alfred,ZA,-33.5906,26.891,58.17,60,89,9.86,overcast clouds
49,Ankara,TR,39.9199,32.8543,54.64,62,0,6.91,clear sky
50,Laguna,US,38.421,-121.4238,89.31,30,1,1.99,clear sky
51,Busselton,AU,-33.65,115.3333,77.09,67,0,15.12,clear sky
52,Bambous Virieux,MU,-20.3428,57.7575,71.22,83,75,12.66,light rain
53,Alofi,NU,-19.0595,-169.9187,80.49,78,13,5.75,few clouds
54,Escanaba,US,45.7453,-87.0646,64.71,82,1,11.5,clear sky
55,Saskylakh,RU,71.9167,114.0833,46.98,65,96,12.15,overcast clouds
56,Grand Forks,US,47.9417,-97.4337,60.73,82,20,8.05,few clouds
57,Caceres,ES,39.522,-6.3748,66.79,73,100,5.37,overcast clouds
58,Ferme-Neuve,CA,46.7001,-75.4493,55.18,97,84,6.26,broken clouds
59,Rajpur,IN,22.3,74.35,84.76,73,100,4.65,overcast clouds
60,Beringovskiy,RU,63.05,179.3167,44.76,65,99,8.59,overcast clouds
61,Vaini,TO,-21.2,-175.2,78.96,89,40,6.91,scattered clouds
62,Songea,TZ,-10.6833,35.65,63.64,67,30,5.73,scattered clouds
63,Tsiroanomandidy,MG,-18.7667,46.0333,65.55,50,0,5.73,clear sky
64,Patterson,US,37.4716,-121.1297,86.07,36,70,6.13,broken clouds
65,Gravdal,NO,68.1214,13.5031,49.89,93,75,9.22,light rain
66,Waitati,NZ,-45.75,170.5667,48.79,84,78,11.03,moderate rain
67,East London,ZA,-33.0153,27.9116,52.74,93,75,2.3,light rain
68,Saint-Philippe,RE,-21.3585,55.7679,72.21,78,58,16.58,broken clouds
69,Hithadhoo,MV,-0.6,73.0833,83.03,69,100,9.01,overcast clouds
70,Severo-Kurilsk,RU,50.6789,156.125,53.26,78,62,18.12,broken clouds
71,Narsaq,GL,60.9167,-46.05,41.22,64,83,3.31,broken clouds
72,Pacific Grove,US,36.6177,-121.9166,77.76,87,1,1.99,clear sky
73,Kapaa,US,22.0752,-159.319,82.72,70,1,1.99,clear sky
74,Ponta Do Sol,PT,32.6667,-17.1,72.72,79,29,5.91,scattered clouds
75,Labuhan,ID,-6.8844,112.2051,89.28,53,39,10.78,scattered clouds
76,Kampot,KH,10.6167,104.1833,82.45,69,71,10.94,broken clouds
77,Atuona,PF,-9.8,-139.0333,78.35,72,3,18.86,clear sky
78,San Cristobal,VE,7.7669,-72.225,65.37,98,47,1.99,scattered clouds
79,Saran,FR,47.9501,1.876,58.82,77,12,6.53,few clouds
80,Warrington,GB,53.3925,-2.5802,62.49,91,40,2.3,fog
81,Komsomolskiy,UZ,40.4272,71.7189,84.92,24,0,4.61,clear sky
82,Carnarvon,AU,-24.8667,113.6333,80.67,34,6,12.66,clear sky
83,Salalah,OM,17.0151,54.0924,78.89,94,90,2.3,overcast clouds
84,Missoula,US,47.0166,-113.8009,56.1,48,6,2.8,clear sky
85,Lagoa,PT,39.05,-27.9833,68.5,76,100,13.47,overcast clouds
86,Kavieng,PG,-2.5744,150.7967,85.82,63,76,9.86,broken clouds
87,Elat,IL,29.5581,34.9482,76.84,61,0,13.8,clear sky
88,Georgetown,MY,5.4112,100.3354,91.33,70,20,8.05,few clouds
89,Botwood,CA,49.1499,-55.3482,55.9,93,100,8.97,overcast clouds
90,Shache,CN,38.4167,77.2406,86.7,15,0,8.72,clear sky
91,Airai,TL,-8.9266,125.4092,71.91,51,35,6.78,scattered clouds
92,Ribeira Grande,PT,38.5167,-28.7,69.48,72,96,12.26,overcast clouds
93,Port Lincoln,AU,-34.7333,135.8667,60.82,64,41,5.32,scattered clouds
94,Faanui,PF,-16.4833,-151.75,78.84,70,9,15.52,clear sky
95,Mollendo,PE,-17.0231,-72.0147,59.04,86,100,5.1,overcast clouds
96,Strezhevoy,RU,60.7333,77.5889,51.78,47,79,8.19,broken clouds
97,Acarau,BR,-2.8856,-40.12,78.82,75,52,18.68,broken clouds
98,Muroto,JP,33.2833,134.15,80.64,75,100,10.45,overcast clouds
