City_ID,City,County,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Bandarbeyla,SO,82.69,broken clouds,9.4942,50.8122,JABIR HOTEL
12,Hilo,US,76.28,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
22,Butaritari,KI,82.44,moderate rain,3.0707,172.7902,Isles Sunset Lodge
24,Dingle,PH,76.59,light rain,10.9995,122.6711,SEGAYA PROPERTY
28,Bundaberg,AU,75.49,clear sky,-24.85,152.35,Takalvan Motel
34,Tiznit,MA,75.65,scattered clouds,29.5833,-9.5,
41,Gunjur,GM,80.67,scattered clouds,13.2019,-16.7339,Kuba Lodge
42,Avera,US,76.51,overcast clouds,33.194,-82.5271,
45,Hengshui,CN,77.86,clear sky,37.7322,115.7011,Eaka Hotel Hengshui Railway Station Branch
47,Bengkulu,ID,82.0,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
50,Laguna,US,89.31,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
51,Busselton,AU,77.09,clear sky,-33.65,115.3333,Observatory Guest House
53,Alofi,NU,80.49,few clouds,-19.0595,-169.9187,Taloa Heights
59,Rajpur,IN,84.76,overcast clouds,22.3,74.35,YS Pawar Villa
61,Vaini,TO,78.96,scattered clouds,-21.2,-175.2,Keleti Beach Resort
64,Patterson,US,86.07,broken clouds,37.4716,-121.1297,Best Western Plus Villa Del Lago Inn
69,Hithadhoo,MV,83.03,overcast clouds,-0.6,73.0833,Scoop Guest House
72,Pacific Grove,US,77.76,clear sky,36.6177,-121.9166,Lovers Point Inn
73,Kapaa,US,82.72,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
75,Labuhan,ID,89.28,scattered clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
76,Kampot,KH,82.45,broken clouds,10.6167,104.1833,Two Moons Hotel
77,Atuona,PF,78.35,clear sky,-9.8,-139.0333,Villa Enata
81,Komsomolskiy,UZ,84.92,clear sky,40.4272,71.7189,Ikathouse
82,Carnarvon,AU,80.67,clear sky,-24.8667,113.6333,Hospitality Carnarvon
83,Salalah,OM,78.89,overcast clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
86,Kavieng,PG,85.82,broken clouds,-2.5744,150.7967,Nusa Island Retreat
87,Elat,IL,76.84,clear sky,29.5581,34.9482,Club Hotel Eilat
90,Shache,CN,86.7,clear sky,38.4167,77.2406,Delong Hotel
94,Faanui,PF,78.84,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
97,Acarau,BR,78.82,broken clouds,-2.8856,-40.12,castelo pizzaria
98,Muroto,JP,80.64,overcast clouds,33.2833,134.15,Oota Ryokan
99,Katubao,PH,86.04,overcast clouds,5.8892,124.8294,IML Ecopark
102,Isangel,VU,78.91,broken clouds,-19.55,169.2667,Tanna Lodge
103,Karratha,AU,81.75,scattered clouds,-20.7377,116.8463,ibis Styles Karratha
106,Guilin,CN,89.71,overcast clouds,25.2819,110.2864,Grand 0773 Hotel
107,Kloulklubed,PW,86.5,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
109,Cabo San Lucas,MX,86.05,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
115,Xinzhou,CN,77.94,clear sky,38.4092,112.7333,Shell Hotel - Xinzhou
118,Carutapera,BR,76.89,broken clouds,-1.195,-46.02,Lidera
119,Aitape,PG,77.36,light rain,-3.1374,142.3475,
122,Sungaipenuh,ID,75.34,broken clouds,-2.0833,101.3833,Hotel Jaya Wisata 2
128,Biak,ID,82.27,moderate rain,-0.9131,122.8766,Penginapan Kim
131,Nioro,GM,75.92,overcast clouds,13.35,-15.75,
134,Luzhou,CN,85.17,clear sky,28.8724,105.4405,Shijichun Hotel
137,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
145,Paredon,MX,81.84,overcast clouds,16.0333,-93.8667,Hotel Principal Paredon
149,Dickinson,US,85.1,few clouds,29.4608,-95.0513,Hampton Inn & Suites Houston/League City
150,Isla Mujeres,MX,80.85,overcast clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
155,Thiruvananthapuram,IN,82.38,haze,8.4833,76.9167,Hotel Residency Tower
157,Tautira,PF,78.82,few clouds,-17.7333,-149.15,Pension Oaoa
